"","region","Median.smooth","lower.smooth","upper.smooth","Year"
"270","Northern America",2102556.22412367,1803545.77661058,2451289.88153516,2003
"271","Oceania",628204.342496712,516848.634267902,764265.8237687,2003
"272","Sub-Saharan Africa",68175018.6162201,50620804.0740188,95631675.8349928,2003
"273","Asia",426712927.483409,354302348.826579,514619010.967859,2004
"274","Europe, EU",16326628.3608532,13395603.6438599,20051925.0718504,2004
"275","Europe, non-EU",27773089.7266125,21252139.6017154,36305750.5286285,2004
"276","Latin America and the Caribbean",18374713.0192379,14274436.6042003,24474196.8760471,2004
"277","Middle East & North Africa",23845480.1401109,19271006.6406855,29602444.2027862,2004
"278","Northern America",2068776.52431992,1773514.98565046,2413341.40216364,2004
"279","Oceania",636275.563494294,523053.210021669,774716.284003564,2004
"280","Sub-Saharan Africa",69771720.577664,51782396.5952819,97889489.4489073,2004
"281","Asia",428303981.402214,355562750.508251,516595016.236064,2005
"282","Europe, EU",16206628.0073191,13290498.1696477,19914644.7990421,2005
"283","Europe, non-EU",27680762.1405875,21201830.1816686,36144554.8697767,2005
"284","Latin America and the Caribbean",18364732.8569656,14260004.0984855,24470496.7072675,2005
"285","Middle East & North Africa",24076051.1009675,19447622.1873739,29903233.1402211,2005
"286","Northern America",2035808.93652761,1744164.82932823,2376364.65957042,2005
"287","Oceania",644410.559652755,529302.789391786,785255.297228966,2005
"288","Sub-Saharan Africa",71368632.6293107,52941191.5170012,100153685.964756,2005
"289","Asia",429785418.672827,356707630.176664,518477499.972971,2006
"290","Europe, EU",16079360.423944,13179521.2795088,19768267.0794786,2006
"291","Europe, non-EU",27570817.844885,21135392.696324,35965541.9373225,2006
"292","Latin America and the Caribbean",18348409.0960291,14240702.5835568,24458125.0504981,2006
"293","Middle East & North Africa",24298803.8855273,19617548.8015362,30194929.4298621,2006
"294","Northern America",2003484.43136357,1715349.79024057,2340165.09008669,2006
"295","Oceania",652555.954643415,535557.219981576,795812.736899006,2006
"296","Sub-Saharan Africa",72949998.7613138,54085136.9258939,102403677.04572,2006
"297","Asia",431181680.638034,357757787.989449,520295647.096986,2007
"298","Europe, EU",15941668.7560903,13059817.8613832,19609479.2411051,2007
"299","Europe, non-EU",27444110.3023512,21054317.3074478,35768024.4142503,2007
"300","Latin America and the Caribbean",18324467.0080611,14215565.6140208,24435362.4106312,2007
"301","Middle East & North Africa",24512966.1997218,19780189.2393747,30476578.5878861,2007
"302","Northern America",1971633.97944461,1686924.35098415,2304548.1300436,2007
"303","Oceania",660658.3721376,541776.349394364,806318.476467783,2007
"304","Sub-Saharan Africa",74500062.9638267,55202180.9086772,104618874.354979,2007
"305","Asia",432517208.640619,358734024.104233,522078642.526516,2008
"306","Europe, EU",15790396.1491204,12928532.8032111,19434968.611867,2008
"307","Europe, non-EU",27301492.9758325,20960094.1768063,35551314.9835445,2008
"308","Latin America and the Caribbean",18291631.8646941,14183626.7444847,24400489.2925592,2008
"309","Middle East & North Africa",24717765.7494828,19934946.2570915,30747226.13047,2008
"310","Northern America",1940088.55138756,1658742.99415564,2269319.21577236,2008
"311","Oceania",668664.435806631,547920.025233471,816702.389389397,2008
"312","Sub-Saharan Africa",76003069.2270031,56280271.5520682,106778689.555712,2008
"313","Asia",433757765.472552,359602340.748089,523793094.387183,2009
"314","Europe, EU",15628060.5601956,12788115.2747288,19246988.8863899,2009
"315","Europe, non-EU",27138177.9975917,20847220.5775164,35313009.4805897,2009
"316","Latin America and the Caribbean",18251060.3853994,14145739.4709455,24355069.8012035,2009
"317","Middle East & North Africa",24914573.6964128,20082773.4849765,31008755.0949449,2009
"318","Northern America",1909122.564374,1631032.02265541,2234808.47725646,2009
"319","Oceania",676713.106911844,554094.619592995,827144.700491331,2009
"320","Sub-Saharan Africa",77482089.7101562,57336161.9192463,108915432.098578,2009
"321","Asia",434853363.214509,360317702.68106,525383259.484502,2010
"322","Europe, EU",15459566.6717934,12643114.7014517,19050426.9344253,2010
"323","Europe, non-EU",26950221.9253745,20710621.2731731,35052321.0680211,2010
"324","Latin America and the Caribbean",18204839.0387838,14103471.4432556,24301920.3530703,2010
"325","Middle East & North Africa",25105245.8415066,20225038.5764136,31263588.1433808,2010
"326","Northern America",1879065.68407949,1604067.86166864,2201405.81035101,2010
"327","Oceania",684955.792177364,560415.172142485,837842.937026992,2010
"328","Sub-Saharan Africa",78969139.4856629,58393696.8553118,111072500.290312,2010
"329","Asia",435804817.142339,360884353.860233,526844795.756715,2011
"330","Europe, EU",15285337.7172504,12493826.3549885,18845919.8466074,2011
"331","Europe, non-EU",26739744.8602506,20552427.66126,34770988.4196981,2011
"332","Latin America and the Caribbean",18153087.7201832,14056927.4468052,24241199.9204287,2011
"333","Middle East & North Africa",25289736.8497848,20361765.3222458,31511580.2290627,2011
"334","Northern America",1849831.75386193,1577780.17721927,2169006.30019451,2011
"335","Oceania",693357.783468702,566854.531848447,848752.926089367,2011
"336","Sub-Saharan Africa",80461876.9132717,59451462.1198632,113245939.07822,2011
"337","Asia",436612942.531888,361306538.242696,528173361.142067,2012
"338","Europe, EU",15105796.9299034,12340545.5069478,18634104.7135702,2012
"339","Europe, non-EU",26508866.9032899,20374771.1392603,34470750.2094803,2012
"340","Latin America and the Caribbean",18095926.3249333,14006212.2669843,24173067.475548,2012
"341","Middle East & North Africa",25468001.3862678,20492977.513316,31752586.3052761,2012
"342","Northern America",1821334.61707917,1552098.63533122,2137505.03192551,2012
"343","Oceania",701884.372651365,573385.547677385,859830.494771443,2012
"344","Sub-Saharan Africa",81957960.352731,60508043.4724991,115431793.409603,2012
"345","Asia",437278554.659004,361588499.785536,529364613.5788,2013
"346","Europe, EU",14921367.5430893,12183567.4289381,18415618.625948,2013
"347","Europe, non-EU",26259708.1555623,20179783.1046573,34153345.1112273,2013
"348","Latin America and the Caribbean",18033474.7483699,13951430.6891829,24097681.9906975,2013
"349","Middle East & North Africa",25639994.115976,20618698.9404673,31986461.325306,2013
"350","Northern America",1793488.11708909,1526952.90202841,2106797.09068252,2013
"351","Oceania",710500.851590862,579981.068595806,871031.470166208,2013
"352","Sub-Saharan Africa",83455048.1637897,61562026.6728179,117626108.231765,2013
"353","Asia",438185500.229327,361748730.180697,531317811.359384,2015
"354","Europe, EU",14539535.9044062,11859700.6694461,17961181.9494849,2015
"355","Europe, non-EU",25715028.6920852,19746338.0875752,33473988.9460539,2015
"356","Latin America and the Caribbean",17893180.6326457,13830087.4811985,23925787.7901643,2015
"357","Middle East & North Africa",25964982.8151499,20853764.6663851,32432238.0099568,2015
"358","Northern America",1739402.40091845,1477987.52527424,2047341.52982867,2015
"359","Oceania",727864.646202398,593257.021567111,893626.949465753,2015
"360","Sub-Saharan Africa",86442870.3396988,63656541.6548989,122024299.137636,2015
"361","Asia",438015951.371882,359992483.47131,533493884.887058,2020
"362","Europe, EU",13529032.6505946,11006001.2588607,16752944.8974766,2020
"363","Europe, non-EU",24181823.2698584,18508621.8981487,31596885.1626739,2020
"364","Latin America and the Caribbean",17458259.843855,13462902.4738796,23380252.1482079,2020
"365","Middle East & North Africa",26664524.4959569,21347005.9716085,33411732.9683409,2020
"366","Northern America",1609543.28941476,1360027.35530541,1905241.81034598,2020
